output,altitude,mach
160,151,0.0
160,175,0.05
160,310,0.05
155,115,0
155,175,0.15
155,310,0.15
150,78,0
150,175,0.23
150,310,0.23
145,30,0
145,175,0.33
145,310,0.33
140,0,0.03
140,175,0.45
140,310,0.45
135,0,0.15
135,175,0.59
135,310,0.59
130,0,0.2
130,175,0.72
130,310,0.72
125,0,0.25
125,15,0.35
125,175,0.88
125,310,0.88
120,0,0.3
120,32,0.5
120,175,1.2
120,310,1.2
115,0,0.39
115,60,0.7
115,175,1.15
115,310,1.15
110,0,0.45
110,175,1.26
110,310,1.26
105,0,0.51
105,175,1.31
105,310,1.31
100,0,0.58
100,175,1.34
100,310,1.34
95,0,0.65
95,175,1.41
95,310,1.41
90,0,0.71
90,175,1.45
90,310,1.45
85,0,0.78
85,175,1.51
85,310,1.51
80,0,0.86
80,175,1.56
80,310,1.56
75,0,0.93
75,175,1.62
75,310,1.62
70,0,1.0
70,175,1.68
70,310,1.68
65,0,1.08
65,175,1.74
65,310,1.74
55,0,1.23
55,175,1.88
55,310,1.88
45,0,1.41
45,175,2.05
45,310,2.05
35,0,1.62
35,175,2.23
35,310,2.23
25,0,1.78
25,175,2.5
25,310,2.5
15,0,2.2
15,85,2.5
