output,altitude,mach
110,0,0.07
110,310,0.07,
105,0,0.15
105,310,0.15,
100,0,0.2
100,10,0.25
100,310,0.25,
95,0,0.28
95,20,0.36
95,310,0.36
90,0,0.27
90,36,0.5
90,310,0.5
85,0,0.33
85,60,0.68
85,310,0.68
80,0,0.49
80,100,0.9
80,310,0.9
75,0,0.55
75,155,1.2
75,310,1.2
70,0,0.63
70,175,1.32
70,310,1.32
65,0,0.7
65,175,1.38
65,310,1.38
60,0,0.78
60,175,1.45
60,310,1.45
50,0,0.94
50,175,1.58
50,310,1.58
40,0,1.1
40,175,1.72
40,310,1.72
30,0,1.3
30,175,1.89
30,310,1.89
20,0,1.52
20,175,2.12
20,310,2.12
10,0,1.84
10,175,2.44
10,310,2.44
5,0,2.4
5,135,2.5
0,0,2.32
0,52,2.5
