altitude,ktas,keas
0,50,50
0,100,100
0,500,500
0,1000,1000
0,1200,1200
25,54,50
25,100,93
25,200,184
25,500,460
25,750,690
25,1000,930
25,1200,1118
50,58,50
50,100,86
50,200,171
50,350,298
50,500,428
50,750,642
50,1000,860
50,1200,1030
75,63,50
75,100,79
75,200,158
75,400,316
75,600,475
75,900,713
75,1200,952
100,68,50
100,100,73
100,200,145
100,400,290
100,650,472
100,900,655
100,1200,873
125,75,50
125,100,67
125,200,133
125,400,266
125,650,434
125,1000,658
125,1200,805
150,82,50
150,100,61
150,200,122
150,400,243
150,600,355
150,800,487
150,1200,732
175,90,50
175,110,61
175,150,84
175,200,111
175,300,168
175,500,278
175,650,352
175,900,500
175,1200,668
200,101,50
200,180,89
200,300,148
200,500,248
200,700,348
200,900,445
200,1200,596
